player_id,team_id,player_name,player_shirt_number,player_age,player_height,player_nationality,player_positions,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS,AerialsWon,MotM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,KeyP,Fouled,Off,Disp,UnsTch,AvgP,Crosses,LongB,ThrB,strengths,weaknesses,player_style,name_lower,RecordID,ClubName,League/Country,BootsName,BootsMaterial,BootsBrand,BootsPack,BootsType,BootsPosition,BootsTopPlayers,PlayerMarketValue
516,18,Yvan Neyou,17.0,28,180,Cameroon,['Defensive Midfielder C'],30,2322,1,1,14,0,0.5,88.1,0.8,1,6.56,1.8,0.9,1.1,0.0,1.2,0.8,0.2,0,0.4,1.7,0.0,0.7,0.9,36.7,0.1,1.4,0.0,['Concentration'],[],"['Likes to shoot from distance', 'Likes to play short passes']",yvan neyou,1679742361-2863,CD Leganés,Other League,Zoom Mercurial Vapor 15,Vaporsite+,Nike,Blast,Speed,Attack,Cristiano Ronaldo,€2 million
517,18,Óscar Rodríguez,7.0,26,174,Spain,"['Attacking Midfielder Centre', 'Attacking Midfielder Left', 'Attacking Midfielder Right', 'Forward']",30,1325,1,4,6,1,1.1,76.8,0.4,2,6.49,1.1,0.7,0.7,0.0,0.7,0.6,0.0,0,0.7,0.9,0.0,0.5,1.2,16.9,0.7,0.9,0.0,"['Holding on to the ball', 'Key passes', 'Taking set-pieces', 'Defensive contribution']",[],"['Plays the ball off the ground often', 'Likes to play long balls', 'Likes to cut inside', 'Likes to shoot from distance', 'Likes to dribble', 'Likes to tackle']",óscar rodríguez,1679742361-1542,Celta de Vigo,La Liga,Copa Sense.1,K-Leather,adidas,Al Rihla,Control,Midfield,Paulo Dybala,€10 million
518,18,Enric Franquesa,15.0,28,174,Spain,"['Defender Left', 'Midfielder Left']",12,615,1,0,1,0,0.3,73.0,0.4,0,6.43,1.4,0.4,0.7,0.2,0.8,0.3,0.1,0,0.2,0.5,0.0,0.2,1.8,13.6,0.2,0.6,0.0,[],"['Holding on to the ball', 'Tackling', 'Passing']","['Likes to play long balls', 'Likes to dribble', 'Does not dive into tackles']",enric franquesa,1679742361-2867,CD Leganés,Other League,X Speedflow.1,Synthetic,adidas,Meteorite,Speed,Attack,Lionel Messi,€1 million
519,18,Javi Hernández,20.0,27,185,Spain,"['Defender Centre', 'Defender Left']",31,2301,2,1,6,0,0.5,76.8,0.7,1,6.43,0.8,0.8,1.5,0.1,3.0,0.9,0.2,0,0.6,0.5,0.2,0.8,0.8,25.7,0.2,1.1,0.0,"['Crossing', 'Concentration']","['Holding on to the ball', 'Passing', 'Tackling']","['Plays the ball off the ground often', 'Likes to cross', 'Does not dive into tackles', 'Commits fouls often']",javi hernández,1679742361-1448,Girona FC,La Liga,Future Z 1.4,FUZIONFIT+,Puma,Fearless,Control,,Neymar,€3 million
521,18,Darko Brasanac,14.0,33,178,Serbia,"['Midfielder Centre', 'Midfielder Right']",31,1596,1,2,4,0,0.4,76.7,0.7,0,6.35,0.9,0.6,1.3,0.1,1.1,0.3,0.4,0,0.3,0.4,0.1,0.3,0.5,16.6,0.1,0.3,0.0,"['Blocking the ball', 'Tackling', 'Defensive contribution']","['Aerial Duels', 'Passing', 'Crossing', 'Finishing']","['Likes to play short passes', 'Commits fouls often']",darko brasanac,1679742361-1391,CA Osasuna,La Liga,Future Ultimate,FUZIONFIT360,Puma,Supercharge,Control,,Neymar,€2 million
522,18,Munir El Haddadi,23.0,29,175,Morocco,"['Attacking Midfielder Centre', 'Attacking Midfielder Left', 'Attacking Midfielder Right', 'Forward']",25,795,7,0,1,1,0.9,77.9,0.4,0,6.34,0.5,0.0,0.6,0.0,0.0,0.4,0.0,0,0.3,1.5,0.3,1.0,0.8,9.3,0.0,0.0,0.0,['Through balls'],"['Offside awareness', 'Crossing']","['Gets fouled often', 'Likes to do layoffs']",munir el haddadi,1679742361-1456,Getafe CF,La Liga,X Speedportal+,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,€4 million
524,18,Borna Barisic,4.0,32,186,Croatia,['Defender Left'],14,141,0,0,1,0,0.0,89.9,0.0,0,6.14,0.1,0.2,0.0,0.2,0.3,0.0,0.0,0,0.1,0.5,0.0,0.0,0.2,8.2,0.1,0.3,0.0,"['Crossing', 'Holding on to the ball', 'Taking set-pieces', 'Key passes', 'Passing', 'Tackling']",[],"['Likes to cross', 'Likes to play short passes']",borna barisic,1679742361-662,Rangers FC,Champions League,Zoom Mercurial Vapor 15,Vaporsite+,Nike,Generation,Speed,Attack,Cristiano Ronaldo,€7 million
526,18,Sébastien Haller,18.0,30,190,Ivory Coast,['Forward'],30,1681,8,1,0,0,1.5,64.4,4.5,0,6.78,0.7,0.0,1.0,0.0,1.0,0.4,0.0,0,1.0,1.3,0.4,1.2,2.8,19.1,0.0,0.4,0.0,['Aerial Duels'],[],"['Indirect set-piece threat', 'Likes to do layoffs', 'Plays the ball off the ground often', 'Likes to do flick ons', 'Gets fouled often', 'Likes to tackle']",sébastien haller,1679742361-469,Borussia Dortmund,Bundesliga,Ultra Ultimate,ULTRAWEAVE,Puma,Supercharge,Speed,Attack,Antoine Griezmann,€35 million
527,18,Miguel de la Fuente,9.0,25,180,Spain,['Forward'],35,1706,2,3,3,0,1.1,60.1,0.9,0,6.18,0.5,0.1,0.7,0.1,0.7,0.3,0.1,0,0.2,0.9,0.4,0.8,2.2,6.6,0.0,0.1,0.0,[],"['Holding on to the ball', 'Finishing', 'Aerial Duels', 'Passing']",['Likes to dribble'],miguel de la fuente,1679742361-3518,Deportivo Alavés,Other League,Nemeziz.1,Knit,adidas,,Agility,Attack,Evan Ferguson,€2 million
530,19,Fábio Silva,37.0,22,185,Portugal,"['Attacking Midfielder Left', 'Forward']",25,1896,10,3,8,0,2.0,68.8,2.1,2,6.83,0.5,0.2,1.7,0.1,1.1,0.4,0.0,0,0.6,1.7,0.8,1.2,2.3,17.7,0.2,0.4,0.0,['Finishing'],"['Crossing', 'Offside awareness', 'Discipline']","['Likes to cut inside', 'Gets fouled often', 'Likes to dribble', 'Likes to do layoffs', 'Does not dive into tackles', 'Commits fouls often']",fábio silva,1679742361-1009,PSV Eindhoven,Europa League,Phantom GX,Gripknit,Nike,Blast,Control,Midfield,Erling Haaland,€13 million
